foi_name	foi_obs	n_fois	bg_obs	n_bgs	odds_ratio	p_val	test_type		
ldl_cholesterol	5	103	477	13239	1.37	4.23e-01	Fisher-Exact		
crohns_disease	6	192	477	13239	0.86	1.00e+00	Fisher-Exact		
hdl_cholesterol	7	133	477	13239	1.49	3.41e-01	Fisher-Exact		
inflammatory_bowel_disease	10	118	477	13239	2.51	1.02e-02	Fisher-Exact		
platelet_counts	7	76	477	13239	2.74	1.94e-02	Fisher-Exact		
multiple_sclerosis	10	162	477	13239	1.78	8.63e-02	Fisher-Exact		
ulcerative_colitis	3	115	477	13239	0.71	8.01e-01	Fisher-Exact		
breast_cancer	6	142	477	13239	1.18	6.47e-01	Fisher-Exact		
metabolite_levels	5	98	477	13239	1.44	4.05e-01	Fisher-Exact		
c-reactive_protein	3	46	477	13239	1.87	2.30e-01	Fisher-Exact		
type_1_diabetes	1	77	477	13239	0.35	5.30e-01	Fisher-Exact		
celiac_disease	3	58	477	13239	1.46	4.67e-01	Fisher-Exact		
rheumatoid_arthritis	6	81	477	13239	2.15	7.17e-02	Fisher-Exact		
cholesterol__total	4	88	477	13239	1.28	5.61e-01	Fisher-Exact		
systemic_lupus_erythematosus	6	90	477	13239	1.92	1.42e-01	Fisher-Exact		
###H3K4me3_Muscle_Satellite_Cultured_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	17	793	13239	6.57	2.57e-03	Fisher-Exact		
ldl_cholesterol	10	103	793	13239	1.70	1.38e-01	Fisher-Exact		
crohns_disease	15	192	793	13239	1.34	3.58e-01	Chi-squared		
hdl_cholesterol	12	133	793	13239	1.57	1.94e-01	Chi-squared		
inflammatory_bowel_disease	15	118	793	13239	2.31	3.78e-03	Chi-squared		
platelet_counts	12	76	793	13239	2.97	7.57e-04	Chi-squared		
multiple_sclerosis	17	162	793	13239	1.86	2.36e-02	Chi-squared		
ulcerative_colitis	7	115	793	13239	1.02	8.45e-01	Fisher-Exact		
breast_cancer	13	142	793	13239	1.59	1.56e-01	Chi-squared		
metabolite_levels	7	98	793	13239	1.21	5.26e-01	Fisher-Exact		
c-reactive_protein	3	46	793	13239	1.10	7.55e-01	Fisher-Exact		
type_1_diabetes	3	77	793	13239	0.63	6.29e-01	Fisher-Exact		
celiac_disease	5	58	793	13239	1.48	3.96e-01	Fisher-Exact		
rheumatoid_arthritis	6	81	793	13239	1.26	4.86e-01	Fisher-Exact		
cholesterol__total	9	88	793	13239	1.80	1.09e-01	Fisher-Exact		
systemic_lupus_erythematosus	10	90	793	13239	1.97	6.80e-02	Fisher-Exact		
###H3K4me3_Duodenum_Mucosa	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	17	703	13239	7.48	1.51e-03	Fisher-Exact		
ldl_cholesterol	12	103	703	13239	2.37	7.81e-03	Chi-squared		
crohns_disease	19	192	703	13239	1.99	7.09e-03	Chi-squared		
hdl_cholesterol	11	133	703	13239	1.62	1.82e-01	Chi-squared		
inflammatory_bowel_disease	22	118	703	13239	4.19	3.34e-10	Chi-squared		
platelet_counts	8	76	703	13239	2.11	6.35e-02	Fisher-Exact		
multiple_sclerosis	15	162	703	13239	1.84	3.76e-02	Chi-squared		
ulcerative_colitis	12	115	703	13239	2.10	2.43e-02	Chi-squared		
breast_cancer	12	142	703	13239	1.66	1.36e-01	Chi-squared		
metabolite_levels	7	98	703	13239	1.38	3.66e-01	Fisher-Exact		
c-reactive_protein	3	46	703	13239	1.25	7.35e-01	Fisher-Exact		
type_1_diabetes	5	77	703	13239	1.24	6.06e-01	Fisher-Exact		
celiac_disease	6	58	703	13239	2.07	1.28e-01	Fisher-Exact		
rheumatoid_arthritis	8	81	703	13239	1.97	7.70e-02	Fisher-Exact		
cholesterol__total	12	88	703	13239	2.85	1.13e-03	Chi-squared		
systemic_lupus_erythematosus	10	90	703	13239	2.25	2.80e-02	Fisher-Exact		
###H3K4me3_Stomach_Mucosa	Strand: Both	Score threshold: NA	No Description###
telomere_length	3	17	347	13239	8.02	9.24e-03	Fisher-Exact		
ldl_cholesterol	8	103	347	13239	3.18	5.64e-03	Fisher-Exact		
crohns_disease	7	192	347	13239	1.41	3.56e-01	Fisher-Exact		
hdl_cholesterol	7	133	347	13239	2.09	8.94e-02	Fisher-Exact		
inflammatory_bowel_disease	10	118	347	13239	3.51	1.07e-03	Fisher-Exact		
platelet_counts	6	76	347	13239	3.22	1.46e-02	Fisher-Exact		
multiple_sclerosis	7	162	347	13239	1.69	2.05e-01	Fisher-Exact		
ulcerative_colitis	3	115	347	13239	1.00	1.00e+00	Fisher-Exact		
breast_cancer	5	142	347	13239	1.36	4.26e-01	Fisher-Exact		
metabolite_levels	6	98	347	13239	2.45	4.38e-02	Fisher-Exact		
c-reactive_protein	2	46	347	13239	1.69	3.41e-01	Fisher-Exact		
type_1_diabetes	2	77	347	13239	0.99	1.00e+00	Fisher-Exact		
celiac_disease	1	58	347	13239	0.65	1.00e+00	Fisher-Exact		
rheumatoid_arthritis	4	81	347	13239	1.94	1.63e-01	Fisher-Exact		
cholesterol__total	7	88	347	13239	3.26	8.27e-03	Fisher-Exact		
systemic_lupus_erythematosus	4	90	347	13239	1.74	3.01e-01	Fisher-Exact		
###H3K4me3_Colonic_Mucosa	Strand: Both	Score threshold: NA	No Description###
telomere_length	4	17	516	13239	7.64	3.62e-03	Fisher-Exact		
ldl_cholesterol	9	103	516	13239	2.38	1.90e-02	Fisher-Exact		
crohns_disease	14	192	516	13239	1.97	2.38e-02	Chi-squared		
hdl_cholesterol	6	133	516	13239	1.17	6.50e-01	Fisher-Exact		
inflammatory_bowel_disease	15	118	516	13239	3.67	2.24e-06	Chi-squared		
platelet_counts	9	76	516	13239	3.35	2.70e-03	Fisher-Exact		
multiple_sclerosis	13	162	516	13239	2.18	1.15e-02	Chi-squared		
ulcerative_colitis	10	115	516	13239	2.37	1.43e-02	Fisher-Exact		
breast_cancer	9	142	516	13239	1.68	1.27e-01	Fisher-Exact		
metabolite_levels	5	98	516	13239	1.33	4.35e-01	Fisher-Exact		
c-reactive_protein	3	46	516	13239	1.72	4.26e-01	Fisher-Exact		
type_1_diabetes	2	77	516	13239	0.66	7.71e-01	Fisher-Exact		
celiac_disease	3	58	516	13239	1.35	4.94e-01	Fisher-Exact		
rheumatoid_arthritis	7	81	516	13239	2.35	3.83e-02	Fisher-Exact		
cholesterol__total	7	88	516	13239	2.15	8.56e-02	Fisher-Exact		
systemic_lupus_erythematosus	7	90	516	13239	2.09	8.90e-02	Fisher-Exact		
###H3K4me3_Brain_Inferior_Temporal_Lobe	Strand: Both	Score threshold: NA	No Description###
telomere_length	3	17	466	13239	5.91	2.04e-02	Fisher-Exact		
ldl_cholesterol	7	103	466	13239	2.01	9.56e-02	Fisher-Exact		
crohns_disease	6	192	466	13239	0.88	1.00e+00	Fisher-Exact		
hdl_cholesterol	8	133	466	13239	1.77	1.46e-01	Fisher-Exact		
inflammatory_bowel_disease	10	118	466	13239	2.57	8.72e-03	Fisher-Exact		
platelet_counts	9	76	466	13239	3.73	1.35e-03	Fisher-Exact		
multiple_sclerosis	8	162	466	13239	1.43	2.84e-01	Fisher-Exact		
ulcerative_colitis	3	115	466	13239	0.73	8.00e-01	Fisher-Exact		
breast_cancer	7	142	466	13239	1.43	3.53e-01	Fisher-Exact		
metabolite_levels	6	98	466	13239	1.80	1.61e-01	Fisher-Exact		
c-reactive_protein	3	46	466	13239	1.92	2.20e-01	Fisher-Exact		
type_1_diabetes	1	77	466	13239	0.36	5.27e-01	Fisher-Exact		
celiac_disease	2	58	466	13239	0.98	1.00e+00	Fisher-Exact		
rheumatoid_arthritis	5	81	466	13239	1.81	2.11e-01	Fisher-Exact		
cholesterol__total	5	88	466	13239	1.66	2.40e-01	Fisher-Exact		
systemic_lupus_erythematosus	6	90	466	13239	1.97	1.37e-01	Fisher-Exact		
###H3K4me3_Stomach_Smooth_Muscle	Strand: Both	Score threshold: NA	No Description###
telomere_length	6	17	814	13239	8.38	3.65e-04	Fisher-Exact		
ldl_cholesterol	10	103	814	13239	1.65	1.44e-01	Fisher-Exact		
crohns_disease	18	192	814	13239	1.59	8.48e-02	Chi-squared		
hdl_cholesterol	14	133	814	13239	1.81	5.35e-02	Chi-squared		
inflammatory_bowel_disease	17	118	814	13239	2.60	3.73e-04	Chi-squared		
platelet_counts	13	76	814	13239	3.18	1.78e-04	Chi-squared		
multiple_sclerosis	16	162	814	13239	1.69	6.83e-02	Chi-squared		
ulcerative_colitis	9	115	814	13239	1.30	4.33e-01	Fisher-Exact		
breast_cancer	19	142	814	13239	2.39	6.01e-04	Chi-squared		
metabolite_levels	7	98	814	13239	1.18	6.70e-01	Fisher-Exact		
c-reactive_protein	2	46	814	13239	0.69	1.00e+00	Fisher-Exact		
type_1_diabetes	4	77	814	13239	0.84	1.00e+00	Fisher-Exact		
celiac_disease	3	58	814	13239	0.83	1.00e+00	Fisher-Exact		
rheumatoid_arthritis	6	81	814	13239	1.22	6.38e-01	Fisher-Exact		
cholesterol__total	9	88	814	13239	1.75	1.16e-01	Fisher-Exact		
systemic_lupus_erythematosus	9	90	814	13239	1.70	1.24e-01	Fisher-Exact		
###H3K4me3_Duodenum_Smooth_Muscle	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	17	563	13239	9.46	5.52e-04	Fisher-Exact		
ldl_cholesterol	7	103	563	13239	1.65	2.11e-01	Fisher-Exact		
crohns_disease	15	192	563	13239	1.93	2.25e-02	Chi-squared		
hdl_cholesterol	7	133	563	13239	1.25	5.14e-01	Fisher-Exact		
inflammatory_bowel_disease	16	118	563	13239	3.61	1.56e-06	Chi-squared		
platelet_counts	10	76	563	13239	3.45	1.36e-03	Fisher-Exact		
multiple_sclerosis	12	162	563	13239	1.82	7.09e-02	Chi-squared		
ulcerative_colitis	9	115	563	13239	1.93	6.29e-02	Fisher-Exact		
breast_cancer	9	142	563	13239	1.53	2.07e-01	Fisher-Exact		
metabolite_levels	7	98	563	13239	1.74	1.98e-01	Fisher-Exact		
c-reactive_protein	2	46	563	13239	1.02	1.00e+00	Fisher-Exact		
type_1_diabetes	3	77	563	13239	0.91	1.00e+00	Fisher-Exact		
celiac_disease	4	58	563	13239	1.67	3.12e-01	Fisher-Exact		
rheumatoid_arthritis	8	81	563	13239	2.49	2.15e-02	Fisher-Exact		
cholesterol__total	8	88	563	13239	2.27	3.34e-02	Fisher-Exact		
systemic_lupus_erythematosus	10	90	563	13239	2.85	4.80e-03	Fisher-Exact		
###H3K4me3_Mobilized_CD34_Primary_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	6	17	953	13239	7.07	8.50e-04	Fisher-Exact		
ldl_cholesterol	8	103	953	13239	1.09	8.47e-01	Fisher-Exact		
crohns_disease	30	192	953	13239	2.43	1.03e-05	Chi-squared		
hdl_cholesterol	15	133	953	13239	1.65	9.67e-02	Chi-squared		
inflammatory_bowel_disease	33	118	953	13239	5.15	8.80e-18	Chi-squared		
platelet_counts	25	76	953	13239	6.46	2.46e-17	Chi-squared		
multiple_sclerosis	27	162	953	13239	2.62	5.67e-06	Chi-squared		
ulcerative_colitis	18	115	953	13239	2.42	8.33e-04	Chi-squared		
breast_cancer	19	142	953	13239	2.01	6.89e-03	Chi-squared		
metabolite_levels	9	98	953	13239	1.31	4.30e-01	Fisher-Exact		
c-reactive_protein	3	46	953	13239	0.90	1.00e+00	Fisher-Exact		
type_1_diabetes	10	77	953	13239	1.93	7.06e-02	Fisher-Exact		
celiac_disease	7	58	953	13239	1.78	1.93e-01	Fisher-Exact		
rheumatoid_arthritis	12	81	953	13239	2.26	1.45e-02	Chi-squared		
cholesterol__total	7	88	953	13239	1.11	6.81e-01	Fisher-Exact		
systemic_lupus_erythematosus	14	90	953	13239	2.40	4.06e-03	Chi-squared		
###H3K4me3_CD34_Cultured_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	17	301	13239	18.20	2.90e-05	Fisher-Exact		
ldl_cholesterol	4	103	301	13239	1.75	3.00e-01	Fisher-Exact		
crohns_disease	11	192	301	13239	2.67	2.77e-03	Chi-squared		
hdl_cholesterol	5	133	301	13239	1.69	2.32e-01	Fisher-Exact		
inflammatory_bowel_disease	9	118	301	13239	3.63	1.48e-03	Fisher-Exact		
platelet_counts	5	76	301	13239	3.06	2.93e-02	Fisher-Exact		
multiple_sclerosis	7	162	301	13239	1.96	1.00e-01	Fisher-Exact		
ulcerative_colitis	5	115	301	13239	1.97	1.92e-01	Fisher-Exact		
breast_cancer	3	142	301	13239	0.93	1.00e+00	Fisher-Exact		
metabolite_levels	5	98	301	13239	2.33	7.26e-02	Fisher-Exact		
c-reactive_protein	2	46	301	13239	1.96	2.81e-01	Fisher-Exact		
type_1_diabetes	2	77	301	13239	1.15	6.95e-01	Fisher-Exact		
celiac_disease	5	58	301	13239	4.11	1.01e-02	Fisher-Exact		
rheumatoid_arthritis	3	81	301	13239	1.66	4.34e-01	Fisher-Exact		
cholesterol__total	4	88	301	13239	2.06	1.40e-01	Fisher-Exact		
systemic_lupus_erythematosus	5	90	301	13239	2.55	5.42e-02	Fisher-Exact		
###H3K4me3_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	6	17	1191	13239	5.54	2.72e-03	Fisher-Exact		
ldl_cholesterol	14	103	1191	13239	1.60	1.43e-01	Chi-squared		
crohns_disease	27	192	1191	13239	1.67	1.91e-02	Chi-squared		
hdl_cholesterol	18	133	1191	13239	1.59	9.18e-02	Chi-squared		
inflammatory_bowel_disease	21	118	1191	13239	2.21	1.40e-03	Chi-squared		
platelet_counts	17	76	1191	13239	2.94	1.02e-04	Chi-squared		
multiple_sclerosis	20	162	1191	13239	1.43	1.73e-01	Chi-squared		
ulcerative_colitis	13	115	1191	13239	1.29	4.81e-01	Chi-squared		
breast_cancer	18	142	1191	13239	1.48	1.63e-01	Chi-squared		
metabolite_levels	11	98	1191	13239	1.28	5.51e-01	Chi-squared		
c-reactive_protein	4	46	1191	13239	0.96	1.00e+00	Fisher-Exact		
type_1_diabetes	3	77	1191	13239	0.41	1.58e-01	Fisher-Exact		
celiac_disease	7	58	1191	13239	1.39	3.60e-01	Fisher-Exact		
rheumatoid_arthritis	11	81	1191	13239	1.60	2.11e-01	Chi-squared		
cholesterol__total	11	88	1191	13239	1.45	3.34e-01	Chi-squared		
systemic_lupus_erythematosus	14	90	1191	13239	1.87	4.58e-02	Chi-squared		
###H3K4me3_CD4_Naive_Primary_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	17	588	13239	9.03	6.73e-04	Fisher-Exact		
ldl_cholesterol	6	103	588	13239	1.33	4.66e-01	Fisher-Exact		
crohns_disease	22	192	588	13239	2.85	4.70e-06	Chi-squared		
hdl_cholesterol	9	133	588	13239	1.57	1.99e-01	Fisher-Exact		
inflammatory_bowel_disease	21	118	588	13239	4.79	7.43e-12	Chi-squared		
platelet_counts	9	76	588	13239	2.92	6.35e-03	Fisher-Exact		
multiple_sclerosis	24	162	588	13239	3.86	3.93e-10	Chi-squared		
ulcerative_colitis	11	115	588	13239	2.30	1.42e-02	Chi-squared		
breast_cancer	12	142	588	13239	2.01	3.34e-02	Chi-squared		
metabolite_levels	6	98	588	13239	1.41	4.52e-01	Fisher-Exact		
c-reactive_protein	2	46	588	13239	0.98	1.00e+00	Fisher-Exact		
type_1_diabetes	11	77	588	13239	3.64	8.57e-05	Chi-squared		
celiac_disease	9	58	588	13239	4.00	9.61e-04	Fisher-Exact		
rheumatoid_arthritis	10	81	588	13239	3.07	3.03e-03	Fisher-Exact		
cholesterol__total	7	88	588	13239	1.87	1.14e-01	Fisher-Exact		
systemic_lupus_erythematosus	10	90	588	13239	2.72	6.48e-03	Fisher-Exact		
###H3K4me3_CD8_Memory_Primary_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	17	583	13239	9.11	6.48e-04	Fisher-Exact		
ldl_cholesterol	5	103	583	13239	1.11	8.07e-01	Fisher-Exact		
crohns_disease	20	192	583	13239	2.58	9.10e-05	Chi-squared		
hdl_cholesterol	7	133	583	13239	1.21	5.27e-01	Fisher-Exact		
inflammatory_bowel_disease	22	118	583	13239	5.13	2.01e-13	Chi-squared		
platelet_counts	8	76	583	13239	2.58	1.83e-02	Fisher-Exact		
multiple_sclerosis	23	162	583	13239	3.70	3.21e-09	Chi-squared		
ulcerative_colitis	11	115	583	13239	2.32	1.31e-02	Chi-squared		
breast_cancer	11	142	583	13239	1.84	8.07e-02	Chi-squared		
metabolite_levels	5	98	583	13239	1.17	6.22e-01	Fisher-Exact		
c-reactive_protein	2	46	583	13239	0.99	1.00e+00	Fisher-Exact		
type_1_diabetes	11	77	583	13239	3.67	7.49e-05	Chi-squared		
celiac_disease	10	58	583	13239	4.58	1.96e-04	Fisher-Exact		
rheumatoid_arthritis	12	81	583	13239	3.83	1.64e-05	Chi-squared		
cholesterol__total	7	88	583	13239	1.89	1.11e-01	Fisher-Exact		
systemic_lupus_erythematosus	11	90	583	13239	3.06	7.52e-04	Chi-squared		
###H3K4me3_Brain_Cingulate_Gyrus	Strand: Both	Score threshold: NA	No Description###
telomere_length	3	17	480	13239	5.73	2.21e-02	Fisher-Exact		
ldl_cholesterol	7	103	480	13239	1.95	1.02e-01	Fisher-Exact		
crohns_disease	6	192	480	13239	0.86	8.47e-01	Fisher-Exact		
hdl_cholesterol	7	133	480	13239	1.48	3.43e-01	Fisher-Exact		
inflammatory_bowel_disease	9	118	480	13239	2.22	4.02e-02	Fisher-Exact		
platelet_counts	9	76	480	13239	3.62	1.66e-03	Fisher-Exact		
multiple_sclerosis	10	162	480	13239	1.76	8.80e-02	Fisher-Exact		
ulcerative_colitis	3	115	480	13239	0.71	8.01e-01	Fisher-Exact		
breast_cancer	8	142	480	13239	1.60	1.77e-01	Fisher-Exact		
metabolite_levels	6	98	480	13239	1.74	1.72e-01	Fisher-Exact		
c-reactive_protein	3	46	480	13239	1.86	2.32e-01	Fisher-Exact		
type_1_diabetes	3	77	480	13239	1.08	7.59e-01	Fisher-Exact		
celiac_disease	2	58	480	13239	0.95	1.00e+00	Fisher-Exact		
rheumatoid_arthritis	5	81	480	13239	1.76	2.20e-01	Fisher-Exact		
cholesterol__total	6	88	480	13239	1.96	1.38e-01	Fisher-Exact		
systemic_lupus_erythematosus	6	90	480	13239	1.91	1.44e-01	Fisher-Exact		
###H3K4me3_Brain_Substantia_Nigra	Strand: Both	Score threshold: NA	No Description###
telomere_length	6	17	593	13239	11.74	6.38e-05	Fisher-Exact		
ldl_cholesterol	11	103	593	13239	2.58	4.88e-03	Chi-squared		
crohns_disease	7	192	593	13239	0.80	7.25e-01	Fisher-Exact		
hdl_cholesterol	7	133	593	13239	1.19	6.70e-01	Fisher-Exact		
inflammatory_bowel_disease	10	118	593	13239	1.99	4.33e-02	Fisher-Exact		
platelet_counts	11	76	593	13239	3.66	7.93e-05	Chi-squared		
multiple_sclerosis	11	162	593	13239	1.56	2.15e-01	Chi-squared		
ulcerative_colitis	6	115	593	13239	1.18	6.48e-01	Fisher-Exact		
breast_cancer	9	142	593	13239	1.45	3.02e-01	Fisher-Exact		
metabolite_levels	7	98	593	13239	1.65	2.12e-01	Fisher-Exact		
c-reactive_protein	3	46	593	13239	1.49	4.61e-01	Fisher-Exact		
type_1_diabetes	2	77	593	13239	0.57	5.86e-01	Fisher-Exact		
celiac_disease	3	58	593	13239	1.16	7.45e-01	Fisher-Exact		
rheumatoid_arthritis	7	81	593	13239	2.03	9.46e-02	Fisher-Exact		
cholesterol__total	8	88	593	13239	2.15	6.07e-02	Fisher-Exact		
systemic_lupus_erythematosus	7	90	593	13239	1.81	1.24e-01	Fisher-Exact		
###H3K4me3_Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	6	17	1004	13239	6.68	1.12e-03	Fisher-Exact		
ldl_cholesterol	13	103	1004	13239	1.77	7.98e-02	Chi-squared		
crohns_disease	16	192	1004	13239	1.11	7.96e-01	Chi-squared		
hdl_cholesterol	22	133	1004	13239	2.45	1.72e-04	Chi-squared		
inflammatory_bowel_disease	19	118	1004	13239	2.36	8.49e-04	Chi-squared		
platelet_counts	12	76	1004	13239	2.30	1.27e-02	Chi-squared		
multiple_sclerosis	18	162	1004	13239	1.53	1.19e-01	Chi-squared		
ulcerative_colitis	9	115	1004	13239	1.03	8.59e-01	Fisher-Exact		
breast_cancer	21	142	1004	13239	2.14	1.93e-03	Chi-squared		
metabolite_levels	11	98	1004	13239	1.55	2.40e-01	Chi-squared		
c-reactive_protein	4	46	1004	13239	1.16	7.77e-01	Fisher-Exact		
type_1_diabetes	1	77	1004	13239	0.16	2.94e-02	Fisher-Exact		
celiac_disease	4	58	1004	13239	0.90	1.00e+00	Fisher-Exact		
rheumatoid_arthritis	9	81	1004	13239	1.53	2.08e-01	Fisher-Exact		
cholesterol__total	13	88	1004	13239	2.13	1.86e-02	Chi-squared		
systemic_lupus_erythematosus	14	90	1004	13239	2.26	7.66e-03	Chi-squared		
###H3K4me3_CD4_Memory_Primary_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	17	562	13239	9.47	5.48e-04	Fisher-Exact		
ldl_cholesterol	4	103	562	13239	0.91	1.00e+00	Fisher-Exact		
crohns_disease	21	192	562	13239	2.84	8.47e-06	Chi-squared		
hdl_cholesterol	6	133	562	13239	1.07	8.27e-01	Fisher-Exact		
inflammatory_bowel_disease	23	118	562	13239	5.65	1.04e-15	Chi-squared		
platelet_counts	8	76	562	13239	2.68	1.50e-02	Fisher-Exact		
multiple_sclerosis	26	162	562	13239	4.47	2.83e-13	Chi-squared		
ulcerative_colitis	7	115	562	13239	1.47	3.45e-01	Fisher-Exact		
breast_cancer	14	142	562	13239	2.50	1.77e-03	Chi-squared		
metabolite_levels	6	98	562	13239	1.48	3.12e-01	Fisher-Exact		
c-reactive_protein	3	46	562	13239	1.58	4.46e-01	Fisher-Exact		
type_1_diabetes	10	77	562	13239	3.41	1.49e-03	Fisher-Exact		
celiac_disease	9	58	562	13239	4.19	6.96e-04	Fisher-Exact		
rheumatoid_arthritis	9	81	562	13239	2.85	7.22e-03	Fisher-Exact		
cholesterol__total	5	88	562	13239	1.36	4.25e-01	Fisher-Exact		
systemic_lupus_erythematosus	11	90	562	13239	3.18	4.58e-04	Chi-squared		
###H3K4me3_Rectal_Smooth_Muscle	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	17	599	13239	8.86	7.33e-04	Fisher-Exact		
ldl_cholesterol	9	103	599	13239	2.04	5.18e-02	Fisher-Exact		
crohns_disease	17	192	599	13239	2.08	6.28e-03	Chi-squared		
hdl_cholesterol	6	133	599	13239	1.00	1.00e+00	Fisher-Exact		
inflammatory_bowel_disease	18	118	599	13239	3.89	6.28e-08	Chi-squared		
platelet_counts	11	76	599	13239	3.62	9.29e-05	Chi-squared		
multiple_sclerosis	15	162	599	13239	2.18	6.39e-03	Chi-squared		
ulcerative_colitis	10	115	599	13239	2.03	4.02e-02	Fisher-Exact		
breast_cancer	14	142	599	13239	2.34	4.08e-03	Chi-squared		
metabolite_levels	7	98	599	13239	1.63	2.15e-01	Fisher-Exact		
c-reactive_protein	2	46	599	13239	0.96	1.00e+00	Fisher-Exact		
type_1_diabetes	3	77	599	13239	0.85	1.00e+00	Fisher-Exact		
celiac_disease	3	58	599	13239	1.15	7.47e-01	Fisher-Exact		
rheumatoid_arthritis	8	81	599	13239	2.33	2.98e-02	Fisher-Exact		
cholesterol__total	8	88	599	13239	2.13	6.22e-02	Fisher-Exact		
systemic_lupus_erythematosus	11	90	599	13239	2.97	1.07e-03	Chi-squared		
###H3K4me3_Rectal_Mucosa	Strand: Both	Score threshold: NA	No Description###
telomere_length	7	17	841	13239	10.40	4.51e-05	Fisher-Exact		
ldl_cholesterol	11	103	841	13239	1.77	1.09e-01	Chi-squared		
crohns_disease	23	192	841	13239	2.03	2.13e-03	Chi-squared		
hdl_cholesterol	11	133	841	13239	1.33	4.64e-01	Chi-squared		
inflammatory_bowel_disease	26	118	841	13239	4.27	8.74e-12	Chi-squared		
platelet_counts	13	76	841	13239	3.07	2.96e-04	Chi-squared		
multiple_sclerosis	21	162	841	13239	2.23	9.37e-04	Chi-squared		
ulcerative_colitis	17	115	841	13239	2.59	4.14e-04	Chi-squared		
breast_cancer	15	142	841	13239	1.75	5.80e-02	Chi-squared		
metabolite_levels	7	98	841	13239	1.14	6.77e-01	Fisher-Exact		
c-reactive_protein	4	46	841	13239	1.41	5.35e-01	Fisher-Exact		
type_1_diabetes	10	77	841	13239	2.21	2.97e-02	Fisher-Exact		
celiac_disease	10	58	841	13239	3.10	3.27e-03	Fisher-Exact		
rheumatoid_arthritis	11	81	841	13239	2.33	1.44e-02	Chi-squared		
